City,Date,AQI,AQI_range,Quality_level,PM25,PM10,SO2,Rank
Beijing,2014-01-01,125 ,26~402 ,轻度污染,93.9 ,122.8 ,51.4 ,80 
Beijing,2014-02-01,184 ,33~428 ,中度污染,148.4 ,155.4 ,56.4 ,137 
Beijing,2014-03-01,130 ,35~319 ,轻度污染,93.6 ,137.8 ,33.7 ,109 
Beijing,2014-04-01,127 ,65~279 ,轻度污染,88.6 ,144.7 ,16.3 ,145 
Beijing,2014-05-01,107 ,46~205 ,轻度污染,61.1 ,117.7 ,15 ,116 
Beijing,2014-06-01,116 ,50~179 ,轻度污染,54.4 ,74.2 ,6.1 ,143 
Beijing,2014-07-01,140 ,39~252 ,轻度污染,89.2 ,100 ,6.3 ,155 
Beijing,2014-08-01,120 ,46~200 ,轻度污染,62.3 ,88.5 ,5.2 ,157 
Beijing,2014-09-01,99 ,43~200 ,良,65.4 ,87.9 ,6.3 ,143 
Beijing,2014-10-01,154 ,28~381 ,中度污染,118.5 ,148.2 ,8.5 ,121 
Beijing,2014-11-01,117 ,29~342 ,轻度污染,86.3 ,126.8 ,15.7 ,101 
Beijing,2014-12-01,86 ,21~267 ,良,57.8 ,95.1 ,28.2 ,65 
Beijing,2015-01-01,126 ,28~378 ,轻度污染,96.6 ,119.8 ,34 ,197 
Beijing,2015-02-01,127 ,36~334 ,轻度污染,92.9 ,113.7 ,26.4 ,213 
Beijing,2015-03-01,127 ,40~281 ,轻度污染,85.7 ,146.5 ,20.2 ,253 
Beijing,2015-04-01,107 ,38~212 ,轻度污染,70.8 ,117.7 ,9 ,251 
Beijing,2015-05-01,105 ,42~203 ,轻度污染,55.5 ,96.6 ,8.4 ,245 
Beijing,2015-06-01,111 ,35~231 ,轻度污染,60.3 ,70 ,6.2 ,270 
Beijing,2015-07-01,122 ,41~200 ,轻度污染,61.1 ,73.6 ,4.5 ,304 
Beijing,2015-08-01,104 ,37~202 ,轻度污染,44.9 ,66.4 ,3.3 ,274 
Beijing,2015-09-01,83 ,34~201 ,良,49.9 ,58.7 ,4.9 ,221 
Beijing,2015-10-01,106 ,27~344 ,轻度污染,74.1 ,86.3 ,5.7 ,175 
Beijing,2015-11-01,153 ,37~450 ,中度污染,118.5 ,85.1 ,11.8 ,286 
Beijing,2015-12-01,187 ,23~485 ,中度污染,151.7 ,171.9 ,19.6 ,253 
Beijing,2016-01-01,97 ,32~316 ,良,67.9 ,87.8 ,20.2 ,165 
Beijing,2016-02-01,71 ,34~238 ,良,43.5 ,59.4 ,15 ,112 
Beijing,2016-03-01,132 ,37~365 ,轻度污染,92.8 ,136.2 ,18.3 ,213 
Beijing,2016-04-01,106 ,43~209 ,轻度污染,68.8 ,118.1 ,10.3 ,263 
Beijing,2016-05-01,111 ,49~234 ,轻度污染,53.6 ,90.4 ,8.5 ,267 
Beijing,2016-06-01,126 ,50~189 ,轻度污染,59.4 ,69.9 ,5.1 ,316 
Beijing,2016-07-01,118 ,40~177 ,轻度污染,69.1 ,74.5 ,3.5 ,308 
Beijing,2016-08-01,94 ,34~179 ,良,46.6 ,59.6 ,2.9 ,269 
Beijing,2016-09-01,86 ,0~211 ,良,54.6 ,73.3 ,3.2 ,218 
Beijing,2016-10-01,116 ,29~292 ,轻度污染,84.6 ,100.6 ,4.4 ,279 
Beijing,2016-11-01,133 ,28~315 ,轻度污染,99.5 ,134 ,11.4 ,254 
Beijing,2016-12-01,168 ,54~431 ,中度污染,132.7 ,158.8 ,17.4 ,250 
Beijing,2017-01-01,147 ,34~470 ,轻度污染,114.3 ,146 ,17.9 ,208 
Beijing,2017-02-01,101 ,37~295 ,轻度污染,69.9 ,84.7 ,18 ,170 
Beijing,2017-03-01,95 ,40~272 ,良,62.7 ,89.2 ,11.1 ,177 
Beijing,2017-04-01,89 ,41~165 ,良,53.3 ,107.9 ,7.1 ,229 
Beijing,2017-05-01,81 ,81~81 ,良,39 ,111 ,8 ,238 
