City,Date,AQI,AQI_range,Quality_level,PM25,PM10,SO2,Rank
Guangzhou,2014-01-01,120 ,59~207 ,轻度污染,90.4 ,116.6 ,22.1 ,89 
Guangzhou,2014-02-01,63 ,12~145 ,良,45.9 ,60.7 ,12.1 ,56 
Guangzhou,2014-03-01,77 ,28~172 ,良,55.4 ,79.5 ,17.5 ,69 
Guangzhou,2014-04-01,69 ,48~108 ,良,48.6 ,69.3 ,18.6 ,60 
Guangzhou,2014-05-01,52 ,33~102 ,良,32.7 ,49.5 ,15.8 ,31 
Guangzhou,2014-06-01,71 ,34~142 ,良,34.2 ,53 ,15.2 ,76 
Guangzhou,2014-07-01,84 ,29~191 ,良,34.5 ,55.1 ,16.3 ,98 
Guangzhou,2014-08-01,76 ,26~186 ,良,31.2 ,49 ,15.4 ,97 
Guangzhou,2014-09-01,75 ,23~148 ,良,35.5 ,56 ,15.7 ,107 
Guangzhou,2014-10-01,96 ,52~139 ,良,58.7 ,85.2 ,17.1 ,116 
Guangzhou,2014-11-01,70 ,15~125 ,良,49.7 ,67.4 ,16.3 ,65 
Guangzhou,2014-12-01,76 ,28~142 ,良,55.5 ,82 ,19 ,73 
Guangzhou,2015-01-01,81 ,22~176 ,良,59.8 ,85.5 ,19.8 ,135 
Guangzhou,2015-02-01,75 ,28~147 ,良,55 ,75 ,12 ,136 
Guangzhou,2015-03-01,49 ,17~90 ,优,33.1 ,49.4 ,10 ,69 
Guangzhou,2015-04-01,71 ,21~170 ,良,38.2 ,59.5 ,13.6 ,154 
Guangzhou,2015-05-01,47 ,28~99 ,优,26.6 ,41.7 ,12.1 ,71 
Guangzhou,2015-06-01,52 ,28~89 ,良,20.5 ,36.4 ,10.6 ,129 
Guangzhou,2015-07-01,65 ,38~159 ,良,27.8 ,45.3 ,9.3 ,160 
Guangzhou,2015-08-01,89 ,49~200 ,良,38.5 ,60.1 ,12.8 ,256 
Guangzhou,2015-09-01,80 ,45~157 ,良,41.5 ,65.3 ,11.2 ,239 
Guangzhou,2015-10-01,71 ,30~131 ,良,44.7 ,77.1 ,11.6 ,171 
Guangzhou,2015-11-01,65 ,33~95 ,良,38.1 ,67.4 ,13.8 ,170 
Guangzhou,2015-12-01,69 ,33~166 ,良,41.5 ,64 ,11.7 ,123 
Guangzhou,2016-01-01,65 ,29~153 ,良,34.9 ,54.5 ,8.6 ,118 
Guangzhou,2016-02-01,58 ,30~130 ,良,36.4 ,53.4 ,9.4 ,99 
Guangzhou,2016-03-01,78 ,30~175 ,良,47.5 ,71.3 ,13.5 ,163 
Guangzhou,2016-04-01,66 ,45~129 ,良,37.9 ,54.7 ,13.2 ,150 
Guangzhou,2016-05-01,65 ,33~147 ,良,30.6 ,50.6 ,10.7 ,138 
Guangzhou,2016-06-01,60 ,36~120 ,良,23.4 ,41 ,9.3 ,153 
Guangzhou,2016-07-01,74 ,28~202 ,良,26.6 ,45.2 ,11.8 ,199 
Guangzhou,2016-08-01,82 ,25~197 ,良,36.7 ,56.1 ,14.3 ,233 
Guangzhou,2016-09-01,76 ,38~201 ,良,35.6 ,56.8 ,12 ,194 
Guangzhou,2016-10-01,51 ,33~85 ,良,30.1 ,48.5 ,10.5 ,144 
Guangzhou,2016-11-01,76 ,33~166 ,良,40.9 ,69.3 ,14.2 ,177 
Guangzhou,2016-12-01,86 ,37~128 ,良,50.9 ,83.2 ,14.4 ,153 
Guangzhou,2017-01-01,82 ,40~205 ,良,54.2 ,77.9 ,11.5 ,144 
Guangzhou,2017-02-01,75 ,32~118 ,良,43.7 ,64 ,12.8 ,113 
Guangzhou,2017-03-01,81 ,49~106 ,良,41.5 ,69.2 ,12 ,151 
Guangzhou,2017-04-01,81 ,45~173 ,良,34 ,61 ,12.2 ,122 
