City,Date,AQI,AQI_range,Quality_level,PM25,PM10,SO2,Rank
Shanghai,2014-01-01,103 ,30~238 ,轻度污染,76.6 ,90 ,28 ,58 
Shanghai,2014-02-01,74 ,27~240 ,良,52.3 ,58.6 ,16.6 ,58 
Shanghai,2014-03-01,82 ,39~202 ,良,56.9 ,84.2 ,19.3 ,71 
Shanghai,2014-04-01,77 ,50~187 ,良,52.9 ,67.4 ,15.3 ,74 
Shanghai,2014-05-01,96 ,53~193 ,良,62.8 ,99.3 ,17.4 ,103 
Shanghai,2014-06-01,72 ,37~182 ,良,44.1 ,57.7 ,11.6 ,73 
Shanghai,2014-07-01,74 ,32~167 ,良,44.9 ,63 ,11.6 ,84 
Shanghai,2014-08-01,67 ,30~150 ,良,37.9 ,52.5 ,12.7 ,84 
Shanghai,2014-09-01,69 ,32~138 ,良,35.2 ,51.5 ,13 ,99 
Shanghai,2014-10-01,77 ,52~137 ,良,39.9 ,68.3 ,15.5 ,74 
Shanghai,2014-11-01,74 ,38~182 ,良,52.2 ,70.6 ,18 ,63 
Shanghai,2014-12-01,99 ,39~190 ,良,71.8 ,112.9 ,36 ,112 
Shanghai,2015-01-01,111 ,28~256 ,轻度污染,83 ,107.6 ,29.2 ,185 
Shanghai,2015-02-01,90 ,34~222 ,良,64.4 ,84.9 ,20.3 ,170 
Shanghai,2015-03-01,81 ,37~143 ,良,54.1 ,66 ,15.3 ,183 
Shanghai,2015-04-01,88 ,44~166 ,良,55.8 ,81 ,16.1 ,231 
Shanghai,2015-05-01,77 ,51~117 ,良,43.6 ,63 ,11.7 ,203 
Shanghai,2015-06-01,80 ,43~188 ,良,43.3 ,57 ,11.1 ,227 
Shanghai,2015-07-01,84 ,31~171 ,良,39.4 ,56.5 ,11.5 ,199 
Shanghai,2015-08-01,86 ,28~181 ,良,39.8 ,57.8 ,12.6 ,217 
Shanghai,2015-09-01,79 ,35~159 ,良,33.5 ,49.4 ,13 ,232 
Shanghai,2015-10-01,82 ,47~133 ,良,47.4 ,73.3 ,16.7 ,218 
Shanghai,2015-11-01,87 ,35~179 ,良,57.5 ,73.9 ,16.9 ,223 
Shanghai,2015-12-01,117 ,53~266 ,轻度污染,81.7 ,104.2 ,25.4 ,232 
Shanghai,2016-01-01,102 ,40~213 ,轻度污染,69.8 ,90.5 ,24.5 ,205 
Shanghai,2016-02-01,80 ,42~178 ,良,54.4 ,77.7 ,19.5 ,194 
Shanghai,2016-03-01,80 ,45~134 ,良,52.1 ,76 ,16.8 ,179 
Shanghai,2016-04-01,90 ,53~159 ,良,55.6 ,81 ,14.4 ,246 
Shanghai,2016-05-01,93 ,51~163 ,良,50.8 ,76.9 ,12 ,247 
Shanghai,2016-06-01,79 ,43~139 ,良,39.6 ,53.6 ,10.2 ,221 
Shanghai,2016-07-01,95 ,24~169 ,良,38.3 ,59.3 ,10.2 ,253 
Shanghai,2016-08-01,59 ,26~135 ,良,18.9 ,36.3 ,11.1 ,160 
Shanghai,2016-09-01,68 ,23~163 ,良,32.2 ,45.4 ,12 ,165 
Shanghai,2016-10-01,51 ,29~72 ,良,21.8 ,37.4 ,11.8 ,144 
Shanghai,2016-11-01,78 ,37~144 ,良,44 ,62.2 ,15.7 ,188 
Shanghai,2016-12-01,94 ,38~185 ,良,57.7 ,77.2 ,18.7 ,170 
Shanghai,2017-01-01,74 ,35~130 ,良,44.5 ,57.8 ,16.8 ,130 
Shanghai,2017-02-01,78 ,38~158 ,良,50.1 ,59.9 ,14.2 ,128 
Shanghai,2017-03-01,71 ,47~105 ,良,44.5 ,62.3 ,12.4 ,121 
Shanghai,2017-04-01,90 ,54~135 ,良,44.5 ,73.2 ,12 ,166 
Shanghai,2017-05-01,72 ,72~72 ,良,28 ,54 ,11 ,71 
